IDPERSONA,DOCUMENTO_TRAYECTORIA_TEXTO,N_CARGOS_TOTAL,N_CARGOS_SIGNIFICATIVOS,N_CAMBIOS_CARGO,N_CAMBIOS_UNIDAD,DURACION_MEDIA_CARGO_ANIOS,DURACION_MEDIANA_CARGO_ANIOS,DURACION_MAX_CARGO_ANIOS,N_UNIDADES_TOTAL,N_UNIDADES_SIGNIFICATIVAS,PROPORCION_CARGOS_SIGNIFICATIVOS
1728,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de PROFESOR NO TITULAR OCASIONAL (MT) en FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 6 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: PROFESOR PREGRADO en DESCONOCIDA (2001-2002); PROFESOR PREGRADO en DESCONOCIDA (2007-2008); PROFESOR PREGRADO en DESCONOCIDA (2012-2013); PROFESOR NO TITULAR OCASIONAL 1 (TC) en FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS (2013-2017); PROFESOR NO TITULAR OCASIONAL (TC) en FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS (2018-2020); PROFESOR NO TITULAR OCASIONAL (MT) en FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS (desde 2026).
Movilidad: Ha realizado 3 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 1.3 años y la duración mediana es de 0.4 años. Su cargo de mayor duración se mantuvo durante 4.4 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 0.4 años por cargo.
Movilidad profesional: Ha ocupado varios cargos distintos (3 cambios de cargo), manteniéndose dentro de la misma unidad.
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 4.4 años). Múltiples cambios de cargo a lo largo de su trayectoria (3). Predominio de períodos prolongados en su historial de cargos.",6,6,3,1,1.28,0.39,4.36,2,2,1.0
1741,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de PROFESOR NO TITULAR OCASIONAL (TC) en FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS y su estado de vigencia es no vigente.
Trayectoria: Ha ocupado 2 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: PROFESOR PREGRADO en DESCONOCIDA (2001-2003); PROFESOR NO TITULAR OCASIONAL (TC) en FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS (2016-2019).
Movilidad: Ha realizado 1 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 2.5 años y la duración mediana es de 2.5 años. Su cargo de mayor duración se mantuvo durante 3.0 años.
Estabilidad: Su trayectoria presenta permanencias relativamente prolongadas en sus cargos, con una duración mediana de 2.5 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Predominio de períodos prolongados en su historial de cargos.",2,2,1,1,2.46,2.46,2.99,2,2,1.0
1742,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de PROFESOR TITULAR AUXILIAR 2 (MT) en ESCUELA DE POSTGRADO EN ADMINISTRACIÓN DE EMPRESAS y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 4 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: AYUDANTE DE INVESTIGACIÓN en DESCONOCIDA (1999-2001); INVESTIGADORA ASISTENTE en DESCONOCIDA (2000-2002); PROFESOR PREGRADO en DESCONOCIDA (2010-2011); PROFESOR TITULAR AUXILIAR 2 (MT) en ESCUELA DE POSTGRADO EN ADMINISTRACIÓN DE EMPRESAS (desde 2011).
Movilidad: Ha realizado 3 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 4.8 años y la duración mediana es de 1.4 años. Su cargo de mayor duración se mantuvo durante 15.3 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 1.4 años por cargo.
Movilidad profesional: Ha ocupado varios cargos distintos (3 cambios de cargo), manteniéndose dentro de la misma unidad.
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 15.3 años). Múltiples cambios de cargo a lo largo de su trayectoria (3). Predominio de períodos prolongados en su historial de cargos.",4,4,3,1,4.76,1.37,15.29,2,2,1.0
1760,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de PROFESOR PREGRADO en DESCONOCIDA y su estado de vigencia es no vigente.
Trayectoria: Ha ocupado 3 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: ASISTENTE DEL DEPARTAMENTO DE REDES EN EL CESERCOMP en DESCONOCIDA (1995-1998); PROFESOR PREGRADO en DESCONOCIDA (1996-1998); PROFESOR PREGRADO en DESCONOCIDA (2002-2010).
Movilidad: Ha realizado 1 cambios de cargo y 0 cambios de unidad. Ha desarrollado su trayectoria en 1 unidades.
Permanencia: La duración media de sus cargos es de 4.1 años y la duración mediana es de 3.0 años. Su cargo de mayor duración se mantuvo durante 7.4 años.
Estabilidad: Su trayectoria presenta permanencias relativamente prolongadas en sus cargos, con una duración mediana de 3.0 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 7.4 años). Trayectoria concentrada en una sola unidad. Predominio de períodos prolongados en su historial de cargos.",3,3,1,0,4.11,3.0,7.36,1,1,1.0
1787,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de ANALISTA DE DESARROLLO DE SISTEMAS 2 en GERENCIA DE TECNOLOGÍAS Y SISTEMAS DE INFORMACIÓN y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 2 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: AUXILIAR DE SECRETARÍA en DESCONOCIDA (2000-2008); SOPORTE DE APLICACIONES en DESCONOCIDA (en 2009); ANALISTA DE DESARROLLO DE SISTEMAS 2 en GERENCIA DE TECNOLOGÍAS Y SISTEMAS DE INFORMACIÓN (desde 2009).
Movilidad: Ha realizado 2 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 8.9 años y la duración mediana es de 8.9 años. Su cargo de mayor duración se mantuvo durante 17.7 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 8.9 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 17.7 años).",3,2,2,1,8.95,8.9,17.7,2,2,0.667
1790,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de ANALISTA DE COMPRAS PÚBLICAS 3 en DIRECCIÓN DE ADQUISICIONES y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 5 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: AUXILIAR DE SECRETARÍA en DESCONOCIDA (1999-2000); ASISTENTE en DESCONOCIDA (2000-2001); AYUDANTE en DESCONOCIDA (2001-2008); ASISTENTE DE COMPRAS PUBLICAS en DESCONOCIDA (2009-2014); ANALISTA DE COMPRAS PÚBLICAS 3 en DIRECCIÓN DE ADQUISICIONES (desde 2015); DIRECTOR DE ADQUISICIONES Y SUMINISTROS en DESCONOCIDA (en 2016); DIRECTOR DE ADQUISICIONES Y SUMINISTROS en DESCONOCIDA (en 2017).
Movilidad: Ha realizado 5 cambios de cargo y 2 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 3.9 años y la duración mediana es de 1.2 años. Su cargo de mayor duración se mantuvo durante 11.7 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 1.2 años por cargo.
Movilidad profesional: Ha ocupado varios cargos a lo largo de su trayectoria (5 cambios de cargo), con cambios entre distintas unidades (2 cambios de unidad).
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 11.7 años). Múltiples cambios de cargo a lo largo de su trayectoria (5). Múltiples cambios de unidad a lo largo de su trayectoria (2).",7,5,5,2,3.85,1.23,11.71,2,2,0.714
1794,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de ASISTENTE EJECUTIVA 2 en CENTRO DE INVESTIGACIONES Y SERVICIOS EDUCATIVOS y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 3 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: AUXILIAR DE SECRETARÍA 3 en DESCONOCIDA (1995-1996); AUXILIAR DE SECRETARÍA en DESCONOCIDA (1996-1997); ASISTENTE EJECUTIVA 2 en CENTRO DE INVESTIGACIONES Y SERVICIOS EDUCATIVOS (desde 1998).
Movilidad: Ha realizado 2 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 10.5 años y la duración mediana es de 1.8 años. Su cargo de mayor duración se mantuvo durante 28.7 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 1.8 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 28.7 años). Predominio de períodos prolongados en su historial de cargos.",3,3,2,1,10.5,1.75,28.7,2,2,1.0
1797,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de PROFESOR TITULAR AGREGADO 3 (TC) en FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 5 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: PROFESOR PREGRADO en DESCONOCIDA (en 2002); PROFESOR PREGRADO en DESCONOCIDA (2003-2004); PROFESOR PREGRADO en DESCONOCIDA (en 2005); PROFESOR PREGRADO en DESCONOCIDA (2006-2011); PROFESOR TITULAR AGREGADO 3 (TC) en FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN (desde 2011).
Movilidad: Ha realizado 1 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 4.5 años y la duración mediana es de 1.4 años. Su cargo de mayor duración se mantuvo durante 15.3 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 1.4 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 15.3 años). Predominio de períodos prolongados en su historial de cargos.",5,5,1,1,4.46,1.36,15.29,2,2,1.0
1812,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de PROFESOR NO TITULAR OCASIONAL (TC) en FACULTAD DE INGENIERÍA MARÍTIMA Y CIENCIAS DEL MAR y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 4 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: PROFESOR en DESCONOCIDA (en 2004); PROFESOR en DESCONOCIDA (en 2007); PROFESOR en DESCONOCIDA (2008-2009); PROFESOR NO TITULAR OCASIONAL (TC) en FACULTAD DE INGENIERÍA MARÍTIMA Y CIENCIAS DEL MAR (desde 2016).
Movilidad: Ha realizado 1 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 3.1 años y la duración mediana es de 0.9 años. Su cargo de mayor duración se mantuvo durante 10.4 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 0.9 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 10.4 años). Predominio de períodos prolongados en su historial de cargos.",4,4,1,1,3.11,0.86,10.37,2,2,1.0
1842,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de TÉCNICO DE ARCHIVO Y DIGITALIZACIÓN en DESCONOCIDA y su estado de vigencia es no vigente.
Trayectoria: Ha ocupado 7 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: ACTIVIDADES DE ARCHIVO en DESCONOCIDA (en 2001); AUXILIAR DE CONTRABILIDAD (ARCHIVO) en DESCONOCIDA (2002-2004); AUXILIAR DE CONTABILIDAD 3 en DESCONOCIDA (2005-2007); ENCARGADO DE ARCHIVO en DESCONOCIDA (2007-2008); TÉCNICO DE ARCHIVO 1 en DESCONOCIDA (en 2009); ENCARGADO DE ARCHIVO en DESCONOCIDA (2010-2014); TÉCNICO DE ARCHIVO Y DIGITALIZACIÓN en DESCONOCIDA (2015-2020).
Movilidad: Ha realizado 6 cambios de cargo y 0 cambios de unidad. Ha desarrollado su trayectoria en 1 unidades.
Permanencia: La duración media de sus cargos es de 2.6 años y la duración mediana es de 2.0 años. Su cargo de mayor duración se mantuvo durante 5.8 años.
Estabilidad: Su trayectoria presenta permanencias relativamente prolongadas en sus cargos, con una duración mediana de 2.0 años por cargo.
Movilidad profesional: Ha ocupado varios cargos distintos (6 cambios de cargo), manteniéndose dentro de la misma unidad.
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 5.8 años). Múltiples cambios de cargo a lo largo de su trayectoria (6). Trayectoria concentrada en una sola unidad. Predominio de períodos prolongados en su historial de cargos.",7,7,6,0,2.65,2.0,5.83,1,1,1.0
1848,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de SUBDECANO(A) en FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 3 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: PROFESOR PREGRADO en DESCONOCIDA (en 2012); TÉCNICO DOCENTE en DESCONOCIDA (en 2013); TECNICO DOCENTE en FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS (2014-2015); PROFESOR NO TITULAR OCASIONAL (TC) en FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS (2015-2020); PROFESOR TITULAR AUXILIAR 2 (TC) en FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS (2020-2026); SUBDECANO(A) en FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS (desde 2026).
Movilidad: Ha realizado 5 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 1 unidades.
Permanencia: La duración media de sus cargos es de 2.2 años y la duración mediana es de 0.9 años. Su cargo de mayor duración se mantuvo durante 6.0 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 0.9 años por cargo.
Movilidad profesional: Ha ocupado varios cargos distintos (5 cambios de cargo), manteniéndose dentro de la misma unidad.
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 6.0 años). Múltiples cambios de cargo a lo largo de su trayectoria (5). Trayectoria concentrada en una sola unidad.",6,3,5,1,2.16,0.93,6.0,2,1,0.5
1857,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de PROFESOR TITULAR AGREGADO 2 (TC) en FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 6 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: DIRECTOR DEL CENTRO DE ESTUDIOS ESTRATEGICOS en DESCONOCIDA (en 2000); HONORARIOS  PROFESIONALES en DESCONOCIDA (en 2001); INVESTIGADOR en DESCONOCIDA (2007-2008); PROFESOR OCASIONAL en DESCONOCIDA (2014-2015); PROFESOR TITULAR AGREGADO 2 (TC) en FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS (desde 2015); DECANO(A) en FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS (2016-2019).
Movilidad: Ha realizado 5 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 3.0 años y la duración mediana es de 1.1 años. Su cargo de mayor duración se mantuvo durante 11.5 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 1.1 años por cargo.
Movilidad profesional: Ha ocupado varios cargos distintos (5 cambios de cargo), manteniéndose dentro de la misma unidad.
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 11.5 años). Múltiples cambios de cargo a lo largo de su trayectoria (5). Predominio de períodos prolongados en su historial de cargos.",6,6,5,1,2.97,1.15,11.54,2,2,1.0
1877,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de PROFESOR TITULAR PRINCIPAL 2 (TC) en FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 4 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: PROFESOR PREGRADO en DESCONOCIDA (1998-1999); PROFESOR PREGRADO en DESCONOCIDA (1999-2003); PROFESOR TITULAR PRINCIPAL 2 (TC) en FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN (desde 2005); TÉCNICOS ESPECIALIZADOS - EJECUCIÓN DE PROYECTOS en FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN (en 2017); DECANO(A) en DECANATO DE GRADO (2021-2023).
Movilidad: Ha realizado 3 cambios de cargo y 2 cambios de unidad. Ha desarrollado su trayectoria en 3 unidades.
Permanencia: La duración media de sus cargos es de 5.4 años y la duración mediana es de 1.9 años. Su cargo de mayor duración se mantuvo durante 21.0 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 1.9 años por cargo.
Movilidad profesional: Ha ocupado varios cargos a lo largo de su trayectoria (3 cambios de cargo), con cambios entre distintas unidades (2 cambios de unidad).
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 21.0 años). Múltiples cambios de cargo a lo largo de su trayectoria (3). Múltiples cambios de unidad a lo largo de su trayectoria (2). Trayectoria distribuida entre varias unidades (3).",5,4,3,2,5.42,1.93,21.04,3,3,0.8
1878,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de GERENTE DE BIENESTAR POLITÉCNICO en DECANATO DE GRADO y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 5 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: ASISTENTE en DESCONOCIDA (2005-2006); ANALISTA DE CALIDAD Y ACREDITACIÓN 2 en SECRETARÍA TÉCNICA DE ASEGURAMIENTO DE LA CALIDAD (2007-2022); PROFESOR NO TITULAR OCASIONAL en DESCONOCIDA (en 2013); GERENTE DE BIENESTAR POLITÉCNICO en DECANATO DE GRADO (desde 2018); PROFESOR NO TITULAR OCASIONAL (TP) en CENTRO DE EMPRENDIMIENTO E INNOVACIÓN I3LAB (2021-2022).
Movilidad: Ha realizado 4 cambios de cargo y 4 cambios de unidad. Ha desarrollado su trayectoria en 4 unidades.
Permanencia: La duración media de sus cargos es de 5.2 años y la duración mediana es de 1.3 años. Su cargo de mayor duración se mantuvo durante 15.9 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 1.3 años por cargo.
Movilidad profesional: Ha ocupado varios cargos a lo largo de su trayectoria (4 cambios de cargo), con cambios entre distintas unidades (4 cambios de unidad).
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 15.9 años). Múltiples cambios de cargo a lo largo de su trayectoria (4). Múltiples cambios de unidad a lo largo de su trayectoria (4). Trayectoria distribuida entre varias unidades (4). Predominio de períodos prolongados en su historial de cargos.",5,5,4,4,5.22,1.33,15.87,4,4,1.0
1885,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de PROFESOR TITULAR AGREGADO 1 (TP) en FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 4 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: PROFESOR PREGRADO en DESCONOCIDA (2007-2009); PROFESOR PREGRADO en DESCONOCIDA (2010-2011); PROFESOR TITULAR AGREGADO 1 (TP) en FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN (desde 2011); DECANO(A) en FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN (2021-2022); SUBDECANO(A) en FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN (en 2022).
Movilidad: Ha realizado 3 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 4.0 años y la duración mediana es de 1.7 años. Su cargo de mayor duración se mantuvo durante 15.3 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 1.7 años por cargo.
Movilidad profesional: Ha ocupado varios cargos distintos (3 cambios de cargo), manteniéndose dentro de la misma unidad.
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 15.3 años). Múltiples cambios de cargo a lo largo de su trayectoria (3).",5,4,3,1,4.04,1.72,15.29,2,2,0.8
1888,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de PROFESOR TITULAR AGREGADO 1 (TC) en FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 4 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: AYUDANTE DE INVESTIGACIÓN DEL CENTRO DE INVESTIGACIONES ECONOMICAS DEL ICHE en DESCONOCIDA (1999-2000); COORDINADOR ADMINISTRATIVO FINANCIERO DEL CIEC - CENTRO DE INVESTIGACIONES ECONOMICAS en DESCONOCIDA (2000-2003); INVESTIGADORA ASISTENTE EN MANEJO DE ASPECTOS ADMINISTRATIVOS DENTRO DEL PROY. PROMSA en DESCONOCIDA (2001-2002); ASISTENTE DE INVESTIGACION EN EL PROYECTO AGROINDUSTRIAL Y EXPORTADOR en DESCONOCIDA (en 2002); PROFESOR TITULAR AGREGADO 1 (TC) en FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS (desde 2015).
Movilidad: Ha realizado 4 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 3.2 años y la duración mediana es de 1.0 años. Su cargo de mayor duración se mantuvo durante 11.5 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 1.0 años por cargo.
Movilidad profesional: Ha ocupado varios cargos distintos (4 cambios de cargo), manteniéndose dentro de la misma unidad.
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 11.5 años). Múltiples cambios de cargo a lo largo de su trayectoria (4).",5,4,4,1,3.19,1.0,11.54,2,2,0.8
1889,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de PROFESOR NO TITULAR OCASIONAL (TC) en DIRECCIÓN DE ADMISIONES y su estado de vigencia es no vigente.
Trayectoria: Ha ocupado 5 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: PROFESOR PREGRADO en DESCONOCIDA (1999-2005); COORDINADOR DE LA OFICINA DE PROMOCION Y SERVICIOS en DESCONOCIDA (2000-2001); COORDINADORA DE LA OFICINA DE PROMOCIÒN Y SERVICIOS en DESCONOCIDA (2001-2002); COORDINADORA DE LA OFICINA DE PROMOCIÒN Y SERVICIOS ESTADÌSTICOS en DESCONOCIDA (en 2002); PROFESOR PREGRADO en DESCONOCIDA (en 2013); PROFESOR NO TITULAR OCASIONAL (TC) en DIRECCIÓN DE ADMISIONES (2016-2020).
Movilidad: Ha realizado 5 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 2.0 años y la duración mediana es de 0.6 años. Su cargo de mayor duración se mantuvo durante 6.3 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 0.6 años por cargo.
Movilidad profesional: Ha ocupado varios cargos distintos (5 cambios de cargo), manteniéndose dentro de la misma unidad.
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 6.3 años). Múltiples cambios de cargo a lo largo de su trayectoria (5).",6,5,5,1,1.98,0.58,6.33,2,2,0.833
1890,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de ASISTENTE DE PRESUPUESTO en GERENCIA FINANCIERA y su estado de vigencia es no vigente.
Trayectoria: Ha ocupado 3 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: RECEPCIONISTA en DESCONOCIDA (en 2001); SECRETARIA RECEPCIONISTA en DESCONOCIDA (en 2002); RECEPCIONISTA en DESCONOCIDA (2002-2004); AUXILIAR DE NÓMINAS en DESCONOCIDA (2005-2014); ASISTENTE DE PRESUPUESTO en GERENCIA FINANCIERA (2015-2020).
Movilidad: Ha realizado 4 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 3.4 años y la duración mediana es de 1.8 años. Su cargo de mayor duración se mantuvo durante 9.1 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 1.8 años por cargo.
Movilidad profesional: Ha ocupado varios cargos distintos (4 cambios de cargo), manteniéndose dentro de la misma unidad.
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 9.1 años). Múltiples cambios de cargo a lo largo de su trayectoria (4).",5,3,4,1,3.44,1.79,9.06,2,2,0.6
1891,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de PROFESOR NO TITULAR OCASIONAL (TC) en FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 4 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: ASISTENTE en DESCONOCIDA (2003-2004); JEFE DE SUMINISTROS ENCARGADA en DESCONOCIDA (en 2004); PROFESOR NO TITULAR OCASIONAL en DESCONOCIDA (2013-2014); PROFESOR NO TITULAR OCASIONAL (TP) en FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS (2014-2015); PROFESOR NO TITULAR OCASIONAL (TC) en FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS (desde 2015).
Movilidad: Ha realizado 4 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 2.8 años y la duración mediana es de 0.9 años. Su cargo de mayor duración se mantuvo durante 11.3 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 0.9 años por cargo.
Movilidad profesional: Ha ocupado varios cargos distintos (4 cambios de cargo), manteniéndose dentro de la misma unidad.
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 11.3 años). Múltiples cambios de cargo a lo largo de su trayectoria (4).",5,4,4,1,2.78,0.87,11.35,2,2,0.8
