IDPERSONA,FUENTE,TEXTO
26,PUBLICACION,NUEVO BIOMARCADOR EN LA ENFERMEDAD DE PARKINSON MEDIANTE EL ANÁLISIS Y CUANTIFICACIÓN DE LESIONES CEREBRALES EN SECUENCIAS FLAIR OBTENIDAS POR RESONANCIA MAGNÉTICA (ACL-TOOL)
26,PUBLICACION,"DISEÑO, CONSTRUCCIÓN Y EVALUACIÓN DE DISPOSITIVOS DE ESTIMULACIÓN PERIFÉRICA EN EXTREMIDADES INFERIORES, PARA AYUDA A PACIENTES DE PÁRKINSON CON PROBLEMAS DE CONGELAMIENTO DE LA MARCHA"
26,PUBLICACION,MRI-COMPATIBLE DEVICE FOR EXAMINING BRAIN ACTIVATION RELATED TO STEPPING
26,PUBLICACION,WEARABLE GAIT ANALYSIS USING IMU SENSORS AND DEEP LEARNING FOR PARKINSON’S DISEASE DETECTION
26,PUBLICACION,EMBRYO QUALITY AND IN VITRO FERTILIZATION OUTCOME PREDICTION USING MACHINE LEARNING AND EXPLAINABILITY
26,PUBLICACION,TOWARDS FAIR DECENTRALIZED BENCHMARKING OF HEALTHCARE AI ALGORITHMS WITH THE FEDERATED TUMOR SEGMENTATION (FETS) CHALLENGE
26,PUBLICACION,PORTABLE COLPOSCOPIC DEVICE BASED ON ARTIFICIAL INTELLIGENCE
26,PUBLICACION,CONVOLUTIONAL NEURAL NETWORK-BASED CLASSIFICATION OF PARKINSONIAN VOICE DISORDERS: A SPECTROGRAM APPROACH
26,PUBLICACION,THE CAUSAL ROLE OF THE SUBTHALAMIC NUCLEUS IN THE INHIBITORY NETWORK
26,PUBLICACION,ANATOMICAL FOOTPRINT OF THE IMPULSE CONTROL DISORDERS IN PARKINSON’S DISEASE: A CONVOLUTIONAL VISION TRANSFORMERS APPROACH
26,PUBLICACION,ANATOMICAL CORRELATES OF APATHY AND IMPULSIVITY CO-OCCURRENCE IN EARLY PARKINSON’S DISEASE
26,PUBLICACION,AUTOMATED SEGMENTATION AND CLASSIFICATION OF MENINGIOMAS USING AI TECHNIQUES
26,PUBLICACION,DEEP LEARNING APPROACHES FOR RUST IDENTIFICATION IN ECUADORIAN AGRICULTURE
26,PUBLICACION,PRECISION AGRICULTURE: ENHANCING CROPS AND WEEDS CLASSIFICATION OF UNBANLANCE DATABASES VIA WEIGHTED-LOSS FUNCTIONS
26,PUBLICACION,METHODOLOGY TO OPTIMIZE THE LOCATION OF OSTEOSYNTHESIS MATERIAL FOR 3D PRINTED CRANIAL IMPLANTS BASED ON FORCE ANALYSIS
26,PUBLICACION,EXOESQUELETO PARA NIÑOS CON DISCAPACIDAD MOTRIZ
86,PUBLICACION,WASTE-TO-ENERGY INCINERATION: EVALUATION OF ENERGY POTENTIAL FOR URBAN DOMESTIC WASTE IN GUAYAQUIL
86,PUBLICACION,PERFORMANCE ASSESSMENT OF A COOLING TOWER AND A GROUND SOURCE HEAT PUMP FOR HEAT DISSIPATION
86,PUBLICACION,DIAGNÓSTICO DE LA PRODUCCIÓN AGROINDUSTRIAL DE LA MIEL DE ABEJA EN CUATRO LOCALIDADES RURALES DEL ECUADOR
86,PUBLICACION,DESIGN OF TEST BENCH FOR THE ANALYSIS OF EFFICIENCY AND EFFECTIVENESS OF EXTENDED SURFACES FOR EDUCATIONAL PURPOSE
94,PUBLICACION,DETERMINANTS OF SATISFACTION WITH ONLINE FOOD DELIVERY PROVIDERS AND THEIR IMPACT ON RESTAURANT BRANDS
94,PUBLICACION,ECO-INNOVATION AND FIRM PERFORMANCE: EVIDENCE FROM SOUTH AMERICA
94,PUBLICACION,"JOB MOTIVATION, BURNOUT AND TURNOVER INTENTION DURING THE COVID-19 PANDEMIC: ARE THERE DIFFERENCES BETWEEN FEMALE AND MALE WORKERS?"
94,PUBLICACION,THE INFLUENCE OF WORK-FAMILY CONFLICT ON BURNOUT DURING THE COVID-19 PANDEMIC: THE EFFECT OF TELEWORKING OVERLOAD
94,PUBLICACION,COVID-19 LOCKDOWN AND THE SATISFACTION WITH ONLINE FOOD DELIVERY PROVIDERS
94,PUBLICACION,"THE INTENTION OF INDEBTEDNESS WITH A CREDIT CARD, AN APPLICATION OF THE THEORY OF PLANNED BEHAVIOUR"
94,PUBLICACION,SISTEMA DE COMPENSACIÓN BASADO EN EVALUACIÓN DE DESEMPEÑO EN LA INDUSTRIA DE ELABORACIÓN DE ALIMENTOS: CASO INGENIO AZUCARERO
94,PUBLICACION,ECO-INNOVACIÓN EN EMPRESAS MANUFACTURERAS DE COLOMBIA Y ECUADOR
94,PUBLICACION,IMPACTO DEL EMPODERAMIENTODE LOS EMPLEADOSEN EL DESEMPEÑO ORGANIZACIONALEN LA INDUSTRIA PESQUERA
94,PUBLICACION,ANÁLISIS DEL BALANCE ENERGÉTICO DEL ECUADOR A TRAVÉS DE DINÁMICA DE SISTEMAS
94,PUBLICACION,VOICES FROM THE ICE: EXPLORING WELLBEING AND JOB PERFORMANCE IN A LATIN AMERICAN ANTARCTIC EXPEDITION
94,PUBLICACION,WORK PERFORMANCE IMPLICATIONS OF MEANING IN LIFE: THE MEDIATING ROLE OF MOTIVATION
96,PUBLICACION,TOWARD A MORE PERSONALIZED MOOC: DATA ANALYSIS TO IDENTIFY DRINKING WATER PRODUCTION OPERATORS’ LEARNING CHARACTERISTICS—AN ECUADOR CASE
96,PUBLICACION,THE PERSONALIZED AND INCLUSIVE MOOC: USING LEARNING CHARACTERISTICS AND QUALITY PRINCIPLES IN INSTRUCTIONAL DESIGN
96,PUBLICACION,UNDERSTANDING CONSTRAINTS ON PRIVATE IRRIGATION ADOPTION DECISIONS UNDER UNCERTAINTY IN DATA CONSTRAINED SETTINGS: A NOVEL EMPIRICAL APPROACH TESTED ON ECUADORIAN COCOA CULTIVATIONS
96,PUBLICACION,"MAPPING ECOSYSTEM SERVICES IN A RURAL LANDSCAPE DOMINATED BY CACAO CROP: A CASE STUDY FOR LOS RIOS PROVINCE, ECUADOR"
96,PUBLICACION,EVALUACIÓN DE LOS HONGOS MICORRÍZICOS ARBUSCULARES DE ZONAS DEL TRÓPICO HÚMEDO DEL ECUADOR
96,PUBLICACION,SMALL-MID SIZED FARMER IRRIGATION ADOPTION IN THE CONTEXT OF PUBLIC PROVISION OF HYDRIC INFRASTRUCTURE IN LAC COUNTRIES
96,PUBLICACION,"FACTORS AFFECTING LAND USE DECISIONS IN THE PENINSULA OF SANTA ELENA, ECUADOR: A TRANSACTION COSTS APPROACH"
96,PUBLICACION,DETERMINANTES DE LAS ACTUALES TENDENCIAS DE LOS CONSUMIDORES Y MERCADOS DE PRODUCTOS AGRÍCOLAS.
96,PUBLICACION,PRICE-VOLATILITY AND EFFICIENCY OF ECUADOR’S AGRICULTURAL RURAL MARKETS. GANADOR DEL SION RAVEED BEST PAPER AWARD.
96,PUBLICACION,ECONOMÍA INSTITUCIONAL DE LA CONTAMINACIÓN DE AGUAS EN LA CUENCA DEL RÍO CHAGUANA: UN ENFOQUE DE DERECHOS DE PROPIEDAD Y CAPITAL SOCIAL
96,PUBLICACION,FROM SCREENS TO STREAMS: CAN PERSONALIZED MOOCS ENHANCE DRINKING WATER OPERATIONS? - A PILOT STUDY IN ECUADOR
96,PUBLICACION,SCALING UP SUSTAINABLE WATER EDUCATION: THE IMPACT OF PERSONALIZED MOOCS ON WATER OPERATORS’ SKILLS
96,PUBLICACION,POLÍTICAS DE CONSERVACIÓN DE MANGLAR EN EL GOLFO DE GUAYAQUIL
96,PUBLICACION,"INTEGRACIÓN DEL VALOR DE LOS SERVICIOS ECOSISTÉMICOS EN LA CADENA DEL CACAO: EL CASO DEL PROYECTO DE RIEGO DAULE-VINCES EN LA CUENCA DEL RÍO GUAYAS, ECUADOR"
96,PUBLICACION,ACREDITANDO LA CABEZA DE JANO: ENFOQUES Y TENDENCIAS A NIVEL NACIONAL E INTERNACIONAL
96,PUBLICACION,MANGROVE CONSERVATION POLICIES IN THE GULF OF GUAYAQUIL
96,PUBLICACION,INTEGRACIÓN DEL VALOR DE LOS SERVICIOS ECOSISTÉMICOS EN LA CADENA DE VALOR DE CACAO: DEFINICIÓN DE ESCENARIOS DE VALORACIÓN
96,PUBLICACION,"INCENTIVOS INDIRECTOS NO MONETARIOS PARA CONSERVACIÓN DE BOSQUES EN LAS COMUNAS  LOMA ALTA Y LAS BALSAS EN LA PENÍNSULA DE SANTA ELENA, ECUADOR."
96,PUBLICACION,"CAPITAL SOCIAL Y DESARROLLO COMUNITARIO: EL CASO DE LAS JUNTAS DE USUARIOS DEL SISTEMA DE RIEGO DEL VALLE DEL DAULE, ECUADOR."
96,PUBLICACION,PARTICIPACIÓN CIUDADANA EN LA GESTIÓN PÚBLICA
96,PUBLICACION,"ACUMULACIÓN PERVERSA: COMUNEROS, AGUA Y TIERRA EN LA PENÍNSULA DE SANTA ELENA, ECUADOR. EN REFORMA AGRARIA EN EL ECUADOR: VIEJOS TEMAS, NUEVOS ARGUMENTOS."
96,PUBLICACION,INFORMATION-USE AND WATER RESOURCES LAWS AND POLICIES IN ECUADOR
96,PUBLICACION,INFORMATION USE AND WATER RESOURCES LAWS AND POLICIES IN ECUADOR
129,PUBLICACION,"""WOMEN ENTREPRENEURS”: EMPOWERING WOMEN AND THEIR ENTREPRENEURSHIP INITIATIVES IN MARGINAL URBAN AREAS OF GUAYAQUIL, ECUADOR - AN ACTION RESEARCH CASE STUDY"
129,PUBLICACION,"“YOUNG ENTREPRENEURS”: BOOSTING THE ENTREPRENEURIAL SKILLS IN YOUNG PEOPLE LIVING IN MARGINAL URBAN AREAS OF GUAYAQUIL, ECUADOR– A CASE STUDY"
130,PUBLICACION,QUALITATIVE MODEL FOR AN OXYGEN THERAPY SYSTEM BASED ON RENEWABLE ENERGY
130,PUBLICACION,A NUMERICAL MODEL FOR THE TRANSPORT OF REACTANTS IN PROTON EXCHANGE FUEL CELLS
130,PUBLICACION,DISTRIBUTED INTELLIGENCE IN AUTONOMOUS PEM FUEL CELL CONTROL
130,PUBLICACION,A CRITICAL ANALYSIS OF THE IMPACT OF THE PANDEMIC ON SUSTAINABLE ENERGY SCENARIOS
130,PUBLICACION,APPROXIMATE REASONING TECHNIQUES IN THE CONTROL OF STATES OF OPERATION OF THE PEM FUEL CELL
130,PUBLICACION,A FUZZY MODEL TO MANAGE WATER IN POLYMER ELECTROLYTE MEMBRANE FUEL CELLS
130,PUBLICACION,SUSTAINABLE ENERGY: A STRATEGIC OVERVIEW OF FUEL CELLS
130,PUBLICACION,DYNAMIC MODEL OF PROTON EXCHANGE MEMBRANE FUEL CELLS: A CRITICAL REVIEW AND A NOVEL MODEL
130,PUBLICACION,TRANSIENT ANALYSIS IN PROTON EXCHANGE MEMBRANE FUEL CELLS: A CRITICAL REVIEW AND A NOVEL MODEL
130,PUBLICACION,REAL-TIME QUALITATIVE MODEL FOR ESTIMATE WATER CONTENT IN PEM FUEL CELL
130,PUBLICACION,OPEN CONTROL ARCHITECTURE FOR THE CHARACTERIZATION AND CONTROL OF THE PEM FUEL CELL
130,PUBLICACION,QUALITATIVE MODEL OF CONTROL IN THE PRESSURE STABILIZATION OF PEM FUEL CELL
130,PUBLICACION,A NOVEL SYSTEM-LEVEL MODEL FOR A FUEL CELL IN A STRATEGIC CONTEXT
130,PUBLICACION,HYBRID PARAMETRIC AND NON-PARAMETRIC IDENTIFICATION OF PEMFC DYNAMICS IN SISO AND MIMO WORKFLOW
130,PUBLICACION,TRANSMISSION EXPANSION PLANNING WITH PHOTOVOLTAIC  GENERATION PENETRATION
130,PUBLICACION,COMPARISON OF ALTERNATIVES FOR RURAL ELECTRIFICATION IN ECUADOR: CASE STUDY OF ISLETS IN THE GULF OF GUAYAQUIL
130,PUBLICACION,A CO-PLANAR WAVEGUIDE ANTENNA USING GRAPHENE FOR APPLICATIONS OF WEARABLE TECHNOLOGY
130,PUBLICACION,WEARABLE GAIT ANALYSIS USING IMU SENSORS AND DEEP LEARNING FOR PARKINSON’S DISEASE DETECTION
130,PUBLICACION,IMPLEMENTATION OF PROTON EXCHANGE MEMBRANE FUEL  CELLS IN AGRICULTURAL AREAS: TECHNICAL AND ECONOMIC  BENEFITS
132,PUBLICACION,EARLY DETECTION OF BLACK SIGATOKA IN BANANA LEAVES USING HYPERSPECTRAL IMAGES
135,PUBLICACION,SPACE AIRY'S WITH WOLFRAM LANGUAGE
135,PUBLICACION,MODELO DE PROGRAMACIÓN BINARIA A UN MODELO DE PROGRAMACIÓN NO LINEAL CON PARÁMETRO CONTINUO
135,PUBLICACION,APPLICATION FOR THE OPTIMIZATION OF THE DESIGN OF A MESHED NETWORK OF DRINKING WATER WITH A GENETIC ALGORITHM BASED ON AN ITERATIVE TYPE SOLUTION
135,PUBLICACION,"PRE-UNIVERSITARIO CON WOLFRAM
MATEMÁTICAS"
135,PUBLICACION,"MEDIDAS ALOMÉTRICAS,"
135,PUBLICACION,PRÁCTICAS DE MÉTODOS NUMÉRICOS AVANZADOS CON MATLAB PASO A PASO [D]
217,PUBLICACION,A REVIEW OF FORMULATIONS TO DESIGN AN ADHESIVE SINGLE-LAP JOINT FOR USE IN MARINE APPLICATIONS
217,PUBLICACION,THE HYBRID JOINTS BETWEEN AN FRP PANEL AND A STEEL PANEL THROUGH TUBULAR REINFORCEMENTS: A METHODOLOGY FOR INTERLAMINAR STRESS CALCULATIONS
217,PUBLICACION,HULL GIRDER: FORCED VIBRATION ANALYSIS BY PROPELLER EXCITATIONS
217,PUBLICACION,ANALYSIS OF MOST FREQUENT CASES OF VIBRATION IN PROPULSION SYSTEMS
217,PUBLICACION,CHARACTERIZATION OF HYBRID JOINT FOR GLASS FIBER REINFORCED POLYMER YACHT SUPERSTRUCTURES USING STEEL TUBES
217,PUBLICACION,ANALYSIS OF BOW SHAPES PROPOSED ON A HIGH-SPEED DISPLACEMENT HULL.
217,PUBLICACION,FIBERGLASS STIFFENED PANELS: ESTIMATION OF NATURAL VIBRATION FREQUENCY.
217,PUBLICACION,ANALYSIS OF THE POSSIBLE RISK OF CAPSIZING IN A 45 M TUNA-FISHING VESSEL THAT HAS BEEN ELONGATED IN THE MIDDLE SECTION
217,PUBLICACION,HYBRID JOINT BETWEEN STEEL DECK AND FIBERGLASS SUPERSTRUCTURE.
217,PUBLICACION,ANALYSIS OF SHIP HULL GIRDER HYDRO-VIBRATION: EXCITATION FORCE INDUCED FOR PROPULSION SYSTEM AND RUDDER INTERACTION
653,PUBLICACION,THERMAL EVALUATION OF A HYBRID DRYER WITH SOLAR AND GEOTHERMAL ENERGY FOR AGROINDUSTRY APPLICATION
653,PUBLICACION,"ASSESSMENT OF DRYING TECHNOLOGY FOR RICE, CORN AND COCOA PRODUCTS"
653,PUBLICACION,DEGRADACIÓN DE FUNGICIDAS EN AGUAS DE DESECHO DE CULTIVOS DE BANANO MEDIANTE PROCESOS FOTOQUÍMICOS
667,PUBLICACION,"ON-ROAD VEHICLE EMISSION INVENTORY AND ITS SPATIAL AND TEMPORAL DISTRIBUTION IN THE CITY OF GUAYAQUIL, ECUADOR"
667,PUBLICACION,"SOURCE APPORTIONMENT OF AMBIENT POLLUTION LEVELS IN GUAYAQUIL, ECUADOR"
671,PUBLICACION,INHIBITORY EFFECT OF ANGIOTENSIN-CONVERTING ENZYME AND ANTIOXIDANT CAPACITY OF PANELA TYPE CHEESES
675,PUBLICACION,"MODELLING, SIMULATION AND SENSITIVITY ANALYSIS OF GENERATOR CONTROL SYSTEMS USING COEXISTING AND COOPERATIVE TOOLS"
675,PUBLICACION,"OPTIMAL DYNAMIC REACTIVE POWER COMPENSATION IN POWER SYSTEMS: CASE
STUDY OF ECUADOR-PERÚ INTERCONNECTION"
675,PUBLICACION,OFF-LINE MEASURING SAMPLING DATA IDENTIFICATION PARAMETERS FOR DIGITAL TWINS MIRRORING LOAD MODELLING AND STABILITY ANALYSIS
675,PUBLICACION,MODELLING THE SPATIAL ENERGY DIVERSITY IN SUB-CITY AREAS USING REMOTE SENSORS
675,PUBLICACION,ENGINEERING MODELLING OF BUILDING ENERGY CONSUMPTION IN CITIES: IDENTIFYING KEY VARIABLES AND THEIR INTERACTIONS WITH THE BUILT ENVIRONMENT
675,PUBLICACION,"MAKING A CASE FOR LOCAL COMBINED HEAT AND POWER AND DISTRICT HEATING INFRASTRUCTURES WITHIN THE UNITED KINGDOM POLICY
LANDSCAPE"
675,PUBLICACION,UNDERSTANDING THE COMPLEXITIES OF DOMESTIC ENERGY REDUCTIONS IN CITIES: INTEGRATING DATA SETS GENERALLY AVAILABLE IN THE UNITED KINGDOM'S LOCAL AUTHORITIES
675,PUBLICACION,"MODELLING HOUSEHOLD SPATIAL ENERGY INTENSITY CONSUMPTION PATTERS FOR BUILDING ENVELOPES, HEATING SYSTEMS AND TEMPERATURE CONTROLS IN CITIES"
675,PUBLICACION,USING A LOCAL FRAMEWORK COMBINING PRINCIPAL COMPONENT REGRESSION AND MONTE CARLO SIMULATION FOR UNCERTAINTY AND SENSITIVITY ANALYSIS OF A DOMESTIC ENERGY MODEL IN SUB-CITY AREAS.
675,PUBLICACION,METRICS OF URBAN MORPHOLOGY AND THEIR IMPACT ON ENERGYCONSUMPTION: A CASE STUDY IN THE UNITED KINGDOM
675,PUBLICACION,DEEP REINFORCEMENT LEARNING APPLIED TO ELECTRIC DISTRIBUTION NETWORK APPLICATIONS USING REAL TIME SIMULATION
675,PUBLICACION,MODEL-BASED AND LARGE LANGUAGE MODEL META ARTIFICIAL INTELLIGENCE TECHNIQUES FOR INTELLIGENT PERMANENT MAGNET SYNCHRONOUS MOTOR DRIVE CONTROL
675,PUBLICACION,TRANSIENT STABILITY ANALYSIS OF STAND-ALONE BATTERY SYSTEMS IN ECUADOR'S TRANSMISSION GRID USING ELECTROMAGNETIC TRANSIENT SIMULATION
675,PUBLICACION,SPATIAL NATIONAL MULTI-PERIOD LONG-TERM ENERGY AND CARBON PLANNING SCENARIOS IN ECUADOR’S ELECTRIC SYSTEM
675,PUBLICACION,OPTIMAL DYNAMIC REACTIVE POWER COMPENSATION IN POWER SYSTEMS: CASE STUDY OF ECUADOR-PERÚ INTERCONNECTION
675,PUBLICACION,"MODELLING HOUSEHOLD SPATIAL ENERGY INTENSITY CONSUMPTION PATTERNS FOR BUILDING ENVELOPES, HEATING SYSTEMS AND TEMPERATURE CONTROLS IN CITIES"
675,PUBLICACION,A SPATIAL PERSPECTIVE OF THE DOMESTIC ENERGY CONSUMPTION INTENSITY PATTERNS IN SUB-CITY AREAS. A CASE STUDY FROM THE UNITED KINGDOM
678,PUBLICACION,NUEVO BIOMARCADOR EN LA ENFERMEDAD DE PARKINSON MEDIANTE EL ANÁLISIS Y CUANTIFICACIÓN DE LESIONES CEREBRALES EN SECUENCIAS FLAIR OBTENIDAS POR RESONANCIA MAGNÉTICA (ACL-TOOL)
697,PUBLICACION,"SPATIO-TEMPORAL STATISTICAL ANALYSIS OF PM1 AND PM2.5 CONCENTRATIONS AND THEIR KEY INFLUENCING FACTORS AT GUAYAQUIL CITY, ECUADOR"
697,PUBLICACION,"HYDRODYNAMIC ANALYSIS OF A STORMWATER SYSTEM, UNDER DATA SCARCITY, FOR DECISION-MAKING PROCESS: THE DURAN CASE STUDY (ECUADOR)"
697,PUBLICACION,"1.	BORBOR-CORDOVA, M.J.; GER, G.; VALDIVIEZO-AJILA, A.A.; ARIAS-HIDALGO, M.; MATAMOROS, D.; NOLIVOS, I.; MENOSCAL-ALDAS, G.; VALLE, F.; PEZZOLI, A.; CORNEJO-RODRIGUEZ, M.D.P. AN OPERATIONAL FRAMEWORK FOR URBAN VULNERABILITY TO FLOODS IN THE"
697,PUBLICACION,"20. SURF ZONE FAUNA OF ECUADORIAN SANDY BEACHES: SPATIAL AND
TEMPORAL PATTERNS"
697,PUBLICACION,SPATIO-TEMPORAL VARIABILITY OF THE SURF-ZONE FAUNA OF TWO ECUADORIAN SANDY BEACHES
697,PUBLICACION,"INTEGRATING PSYCHOSOCIAL HEALTH INTO DISASTER RISK MANAGEMENT: INSIGHTS FROM COVID-19 IN DURÁN, ECUADOR"
697,PUBLICACION,"UNDERSTANDING PARTICLE MATTER EMISSION FROM COOKING MEALS, HEALTH IMPACTS AND POLICY PATH IN ECUADOR"
697,PUBLICACION,SURF ZONE FAUNA OF ECUADORIAN SANDY BEACHES: SPATIAL AND TEMPORAL PATTERNS
697,PUBLICACION,¿QUÉ PASA CON EL FENÓMENO DE EL NIÑO 2023-2024?
697,PUBLICACION,"COLABORACIÓN DE ACADEMIA CON UN GOBIERNO LOCAL: CONSTRUYENDO CIUDADES CLIMÁTICAMENTE RESILIENTES. LECCIONES DEL CASO DE DURÁN. ALIANZAS PARA UN DESARROLLO URBANO SOSTENIBLE,"
697,PUBLICACION,REPORT FOR THE MID-TERM REVIEW OF THE SENDAI FRAMEWORK FOR DISASTER RISK REDUCTION.
697,PUBLICACION,ECUADOR AND THE 2015–16 EL NIÑO
697,PUBLICACION,ENHANCING SELF-DETERMINED/SOCIO-ECOLOGICAL RESILIENCE TO FLOODING IN MARGINALISED COMMUNITIES OF ECUADOR AND PERU
697,PUBLICACION,GOBIERNOS AUTÓNOMOS DESCENTRALIZADOS Y LA ACADEMIA: BUENAS PRACTICAS DE COLABORACIÓN PARA LA RESILIENCIA CLIMÁTICA Y LA COVID-19.
697,PUBLICACION,"COLABORACIÓN DE ACADEMIA CON UN GOBIERNO LOCAL: CONSTRUYENDO CIUDADES CLIMÁTICAMENTE RESILIENTES. LECCIONES DEL CASO DE DURÁN, EN CIUDADES Y TERRITORIOS SOSTENIBLES. APORTES DESDE LA ACADEMIA"
697,PUBLICACION,"URBAN HEAT ISLAND SIMULATION AND MONITORING IN THE HOT AND HUMID CLIMATE CITIES OF GUAYAQUIL AND DURÁN, ECUADOR"
697,PUBLICACION,"DISEÑANDO ESTRATEGIAS PARA LA RESILIENCIA CLIMÁTICA EN CIUDADES, INFORME DE POLITICAS"
705,PUBLICACION,"ENVIRONMENTAL IMPACTS, LIFE CYCLE ASSESSMENT AND POTENTIAL IMPROVEMENT MEASURES FOR CEMENT PRODUCTION: A LITERATURE REVIEW"
705,PUBLICACION,ASSESSMENT OF STUDENTS' INTERACTIONS IN MULTINATIONAL COLLABORATIVE DESIGN PROJECTS
705,PUBLICACION,LIFE CYCLE ASSESSMENT OF RESIDENTIAL BUILDINGS: A REVIEW OF METHODOLOGIES
705,PUBLICACION,CARBON FOOTPRINT OF ELECTRICITY GENERATION IN A CONCEPTUAL BIOENERGY POWER PLANT WITH CARBON CAPTURE AND STORAGE
705,PUBLICACION,LIFE CYCLE ASSESSMENT OF GREENHOUSE GAS EMISSIONS ARISING FROM THE PRODUCTION OF GLUED AND PRESSED WALL PANELS DERIVED FROM GUADUA ANGUSTIFOLIA KUNTH (BAMBOO) IN ECUADOR
709,PUBLICACION,"COASTAL EROSION ASSESSMENT USING REMOTE SENSING AND COMPUTATIONAL
NUMERICAL MODEL. CASE OF STUDY: LIBERTADOR BOLIVAR, ECUADOR"
709,PUBLICACION,RECREATIONAL USE OF SANDY BEACHES IN THE CONTEXT OF PHYSICAL AND SOCIOECONOMIC CONDITIONS: THE CASE OF FOUR BEACHES ON THE ECUADORIAN COAST
